images,words,match
stimuli/training_1.png,amande,match
stimuli/training_1.png,valise,n_match
stimuli/training_2.png,amande,n_match
stimuli/training_2.png,amande,n_match
stimuli/training_1.png,valise,n_match
stimuli/training_1.png,valise,n_match
stimuli/training_1.png,amande,match
stimuli/training_2.png,valise,match
stimuli/training_2.png,amande,n_match
stimuli/training_1.png,amande,match
stimuli/training_1.png,valise,n_match
stimuli/training_1.png,amande,match
stimuli/training_2.png,amande,n_match
stimuli/training_2.png,valise,match
stimuli/training_2.png,valise,match
stimuli/training_2.png,valise,match
stimuli/training_2.png,amande,n_match
stimuli/training_2.png,valise,match
stimuli/training_1.png,valise,n_match
stimuli/training_1.png,amande,match
